latency_ms,cdf
1.0700,0.0101
1.5710,0.0201
1.5800,0.0301
1.5840,0.0400
1.5860,0.0500
1.5890,0.0600
1.5900,0.0700
1.5920,0.0800
1.5940,0.0900
1.5950,0.1000
1.5970,0.1100
1.5980,0.1200
1.5990,0.1300
1.6010,0.1400
1.6020,0.1500
1.6040,0.1600
1.6050,0.1700
1.6070,0.1800
1.6090,0.1900
1.6100,0.2000
1.6120,0.2100
1.6150,0.2200
1.6180,0.2300
1.6220,0.2400
1.6260,0.2500
1.6320,0.2600
1.6400,0.2700
1.6520,0.2800
1.6650,0.2900
1.6810,0.3000
1.7010,0.3100
1.7380,0.3200
1.8650,0.3300
2.1020,0.3400
2.1080,0.3500
2.1120,0.3600
2.1150,0.3700
2.1170,0.3800
2.1190,0.3900
2.1210,0.4000
2.1220,0.4100
2.1240,0.4200
2.1250,0.4300
2.1260,0.4400
2.1280,0.4500
2.1290,0.4600
2.1300,0.4700
2.1310,0.4800
2.1320,0.4900
2.1330,0.5000
2.1340,0.5100
2.1350,0.5200
2.1360,0.5300
2.1380,0.5400
2.1390,0.5500
2.1400,0.5600
2.1410,0.5700
2.1420,0.5800
2.1440,0.5900
2.1450,0.6000
2.1470,0.6100
2.1480,0.6200
2.1500,0.6300
2.1520,0.6400
2.1550,0.6500
2.1570,0.6600
2.1600,0.6700
2.1630,0.6800
2.1670,0.6900
2.1700,0.7000
2.1760,0.7100
2.1830,0.7200
2.1890,0.7300
2.1970,0.7400
2.2060,0.7500
2.2140,0.7600
2.2240,0.7700
2.2370,0.7800
2.2550,0.7900
2.2750,0.8000
2.3200,0.8100
2.6150,0.8200
2.6450,0.8300
2.6530,0.8400
2.6590,0.8500
2.6640,0.8600
2.6680,0.8700
2.6740,0.8800
2.6790,0.8900
2.6870,0.9000
2.6980,0.9100
2.7130,0.9200
2.7310,0.9300
2.7580,0.9400
2.7950,0.9500
2.9270,0.9600
3.1950,0.9699
3.2430,0.9799
3.5390,0.9899
8.5610,1.0000
