latency_ms,cdf
1.0820,0.0100
1.1060,0.0200
1.5810,0.0300
1.5890,0.0400
1.5940,0.0500
1.5970,0.0600
1.6000,0.0700
1.6020,0.0800
1.6050,0.0900
1.6070,0.1000
1.6100,0.1100
1.6120,0.1200
1.6130,0.1300
1.6150,0.1400
1.6160,0.1500
1.6180,0.1600
1.6190,0.1700
1.6210,0.1800
1.6230,0.1900
1.6240,0.2000
1.6260,0.2100
1.6270,0.2200
1.6290,0.2300
1.6300,0.2400
1.6320,0.2500
1.6330,0.2600
1.6350,0.2700
1.6370,0.2800
1.6380,0.2900
1.6400,0.3000
1.6420,0.3100
1.6450,0.3200
1.6470,0.3300
1.6500,0.3400
1.6530,0.3500
1.6560,0.3600
1.6600,0.3700
1.6650,0.3800
1.6720,0.3900
1.6810,0.4000
1.6990,0.4100
1.7500,0.4200
2.0550,0.4300
2.1130,0.4400
2.1200,0.4500
2.1250,0.4600
2.1290,0.4700
2.1330,0.4800
2.1370,0.4900
2.1400,0.5000
2.1430,0.5100
2.1460,0.5200
2.1490,0.5300
2.1510,0.5400
2.1530,0.5500
2.1550,0.5600
2.1570,0.5700
2.1590,0.5800
2.1610,0.5900
2.1630,0.6000
2.1640,0.6100
2.1660,0.6200
2.1680,0.6300
2.1690,0.6400
2.1710,0.6500
2.1730,0.6600
2.1740,0.6700
2.1760,0.6800
2.1770,0.6900
2.1790,0.7000
2.1810,0.7100
2.1830,0.7200
2.1850,0.7300
2.1870,0.7400
2.1890,0.7500
2.1920,0.7600
2.1950,0.7700
2.1970,0.7800
2.2000,0.7900
2.2040,0.8000
2.2090,0.8100
2.2150,0.8200
2.2230,0.8300
2.2330,0.8400
2.2570,0.8500
2.3230,0.8600
2.6220,0.8700
2.6610,0.8800
2.6790,0.8900
2.6910,0.9000
2.7010,0.9100
2.7110,0.9200
2.7190,0.9300
2.7280,0.9400
2.7390,0.9500
2.7570,0.9600
2.8130,0.9700
3.2230,0.9800
3.2810,0.9900
75.3590,1.0000
