latency_ms,cdf
1.0780,0.0100
1.0900,0.0200
1.1200,0.0300
1.5930,0.0400
1.6000,0.0500
1.6040,0.0600
1.6060,0.0700
1.6090,0.0800
1.6100,0.0900
1.6120,0.1000
1.6140,0.1100
1.6150,0.1200
1.6160,0.1300
1.6170,0.1400
1.6190,0.1500
1.6200,0.1600
1.6210,0.1700
1.6220,0.1800
1.6230,0.1900
1.6240,0.2000
1.6250,0.2100
1.6270,0.2200
1.6280,0.2300
1.6290,0.2400
1.6300,0.2500
1.6310,0.2600
1.6330,0.2700
1.6340,0.2800
1.6350,0.2900
1.6370,0.3000
1.6380,0.3100
1.6390,0.3200
1.6410,0.3300
1.6420,0.3400
1.6440,0.3500
1.6460,0.3600
1.6490,0.3700
1.6510,0.3800
1.6540,0.3900
1.6570,0.4000
1.6620,0.4100
1.6670,0.4200
1.6740,0.4300
1.6850,0.4400
1.7040,0.4500
1.7450,0.4600
1.8240,0.4700
2.0440,0.4800
2.1330,0.4900
2.1390,0.5000
2.1430,0.5100
2.1460,0.5200
2.1490,0.5300
2.1510,0.5400
2.1530,0.5500
2.1550,0.5600
2.1560,0.5700
2.1580,0.5800
2.1590,0.5900
2.1610,0.6000
2.1620,0.6100
2.1640,0.6200
2.1650,0.6300
2.1670,0.6400
2.1690,0.6500
2.1700,0.6600
2.1720,0.6700
2.1730,0.6800
2.1750,0.6900
2.1760,0.7000
2.1780,0.7100
2.1800,0.7200
2.1810,0.7300
2.1830,0.7400
2.1850,0.7500
2.1870,0.7600
2.1890,0.7700
2.1920,0.7800
2.1940,0.7900
2.1970,0.8000
2.2010,0.8100
2.2050,0.8200
2.2100,0.8300
2.2160,0.8400
2.2250,0.8500
2.2420,0.8600
2.2740,0.8700
2.3560,0.8800
2.6280,0.8900
2.6860,0.9000
2.6980,0.9100
2.7060,0.9200
2.7150,0.9300
2.7240,0.9400
2.7350,0.9500
2.7510,0.9600
2.7970,0.9700
3.2190,0.9800
3.2960,0.9900
214.6320,1.0000
