latency_ms,cdf
0.5370,0.0100
1.0410,0.0200
1.0450,0.0300
1.0470,0.0400
1.0490,0.0500
1.0510,0.0600
1.0520,0.0700
1.0530,0.0800
1.0540,0.0900
1.0550,0.1000
1.0560,0.1100
1.0570,0.1200
1.0580,0.1300
1.0590,0.1400
1.0600,0.1500
1.0600,0.1600
1.0610,0.1700
1.0620,0.1800
1.0630,0.1900
1.0640,0.2000
1.0650,0.2100
1.0650,0.2200
1.0670,0.2300
1.0680,0.2400
1.0690,0.2500
1.0710,0.2600
1.0740,0.2700
1.0770,0.2800
1.0840,0.2900
1.0980,0.3000
1.1240,0.3100
1.1570,0.3200
1.2960,0.3300
1.5600,0.3400
1.5670,0.3500
1.5700,0.3600
1.5720,0.3700
1.5740,0.3800
1.5760,0.3900
1.5770,0.4000
1.5780,0.4100
1.5790,0.4200
1.5800,0.4300
1.5820,0.4400
1.5830,0.4500
1.5840,0.4600
1.5850,0.4700
1.5860,0.4800
1.5870,0.4900
1.5880,0.5000
1.5900,0.5100
1.5910,0.5200
1.5920,0.5300
1.5930,0.5400
1.5950,0.5500
1.5970,0.5600
1.5980,0.5700
1.6010,0.5800
1.6040,0.5900
1.6080,0.6000
1.6150,0.6100
1.6250,0.6200
1.6400,0.6300
1.6560,0.6400
1.6760,0.6500
1.7010,0.6600
1.7810,0.6700
2.0180,0.6800
2.0880,0.6900
2.0940,0.7000
2.0980,0.7100
2.1010,0.7200
2.1040,0.7300
2.1070,0.7400
2.1090,0.7500
2.1110,0.7600
2.1140,0.7700
2.1170,0.7800
2.1200,0.7900
2.1240,0.8000
2.1290,0.8100
2.1380,0.8200
2.1580,0.8300
2.1850,0.8400
2.2140,0.8500
2.2870,0.8600
2.5540,0.8700
2.6230,0.8800
2.6320,0.8900
2.6390,0.9000
2.6450,0.9100
2.6520,0.9200
2.6620,0.9300
2.6930,0.9400
2.7640,0.9500
3.1490,0.9600
3.1820,0.9700
3.2370,0.9800
3.6040,0.9900
27.3850,1.0000
