latency_ms,cdf
1.6230,0.0100
2.1160,0.0200
2.1330,0.0300
2.1490,0.0400
2.1720,0.0500
2.2160,0.0600
2.6080,0.0700
2.6530,0.0800
2.6630,0.0900
2.6690,0.1000
2.6750,0.1100
2.6830,0.1200
2.6900,0.1300
2.6990,0.1400
2.7090,0.1500
2.7180,0.1600
2.7320,0.1700
2.7510,0.1800
2.7930,0.1900
3.1160,0.2000
3.1700,0.2100
3.1760,0.2200
3.1810,0.2300
3.1840,0.2400
3.1870,0.2500
3.1900,0.2600
3.1930,0.2700
3.1950,0.2800
3.1970,0.2900
3.2000,0.3000
3.2020,0.3100
3.2030,0.3200
3.2060,0.3300
3.2070,0.3400
3.2090,0.3500
3.2110,0.3600
3.2140,0.3700
3.2160,0.3800
3.2170,0.3900
3.2190,0.4000
3.2210,0.4100
3.2230,0.4200
3.2260,0.4300
3.2280,0.4400
3.2300,0.4500
3.2330,0.4600
3.2350,0.4700
3.2380,0.4800
3.2400,0.4900
3.2430,0.5000
3.2460,0.5100
3.2480,0.5200
3.2510,0.5300
3.2550,0.5400
3.2590,0.5500
3.2620,0.5600
3.2650,0.5700
3.2700,0.5800
3.2750,0.5900
3.2810,0.6000
3.2890,0.6100
3.2970,0.6200
3.3080,0.6300
3.3260,0.6400
3.3530,0.6500
3.4100,0.6600
3.6830,0.6700
3.7140,0.6800
3.7230,0.6900
3.7320,0.7000
3.7390,0.7100
3.7460,0.7200
3.7520,0.7300
3.7570,0.7400
3.7630,0.7500
3.7700,0.7600
3.7750,0.7700
3.7820,0.7800
3.7900,0.7900
3.8000,0.8000
3.8100,0.8100
3.8230,0.8200
3.8420,0.8300
3.8630,0.8400
3.9010,0.8500
4.0660,0.8600
4.2570,0.8700
4.2790,0.8800
4.2960,0.8900
4.3130,0.9000
4.3330,0.9100
4.3620,0.9200
4.4240,0.9300
4.6370,0.9400
4.8230,0.9500
4.8730,0.9600
4.9950,0.9700
5.4300,0.9800
6.0140,0.9900
67.4920,1.0000
