latency_ms,cdf
1.0690,0.0100
1.2900,0.0200
1.5700,0.0300
1.5800,0.0400
1.5840,0.0500
1.5860,0.0600
1.5890,0.0700
1.5900,0.0800
1.5920,0.0900
1.5940,0.1000
1.5950,0.1100
1.5970,0.1200
1.5980,0.1300
1.6000,0.1400
1.6010,0.1500
1.6030,0.1600
1.6040,0.1700
1.6060,0.1800
1.6080,0.1900
1.6090,0.2000
1.6110,0.2100
1.6130,0.2200
1.6160,0.2300
1.6190,0.2400
1.6230,0.2500
1.6270,0.2600
1.6320,0.2700
1.6380,0.2800
1.6430,0.2900
1.6500,0.3000
1.6570,0.3100
1.6660,0.3200
1.6780,0.3300
1.6930,0.3400
1.7220,0.3500
1.7840,0.3600
1.8670,0.3700
1.9570,0.3800
2.0410,0.3900
2.1030,0.4000
2.1100,0.4100
2.1140,0.4200
2.1170,0.4300
2.1190,0.4400
2.1220,0.4500
2.1230,0.4600
2.1250,0.4700
2.1270,0.4800
2.1290,0.4900
2.1300,0.5000
2.1320,0.5100
2.1330,0.5200
2.1350,0.5300
2.1360,0.5400
2.1380,0.5500
2.1390,0.5600
2.1410,0.5700
2.1420,0.5800
2.1440,0.5900
2.1460,0.6000
2.1480,0.6100
2.1510,0.6200
2.1530,0.6300
2.1560,0.6400
2.1600,0.6500
2.1630,0.6600
2.1670,0.6700
2.1710,0.6800
2.1750,0.6900
2.1800,0.7000
2.1860,0.7100
2.1920,0.7200
2.1990,0.7300
2.2070,0.7400
2.2170,0.7500
2.2260,0.7600
2.2440,0.7700
2.2650,0.7800
2.3120,0.7900
2.3840,0.8000
2.4810,0.8100
2.6050,0.8200
2.6450,0.8300
2.6540,0.8400
2.6610,0.8500
2.6670,0.8600
2.6750,0.8700
2.6820,0.8800
2.6940,0.8900
2.7070,0.9000
2.7210,0.9100
2.7400,0.9200
2.7740,0.9300
2.8600,0.9400
3.0950,0.9500
3.2030,0.9600
3.2580,0.9700
3.5170,0.9800
4.0180,0.9900
22.2540,1.0000
